experiment,model,strategy,dataset_type,imbalance,noise,artifacts,max_accuracy,final_accuracy,min_loss,final_loss,num_epochs
artifacts_im0.5_noise0.3_art0.3,resnet18,baseline,artifacts,0.5,0.3,0.3,0.968,0.968,0.0967823949599266,0.0967823949599266,10
artifacts_im0.5_noise0.3_art0.3,resnet18,online,artifacts,0.5,0.3,0.3,0.9772666666666666,0.9772666666666666,0.0814089378674825,0.0814089378674825,10
artifacts_im0.5_noise0.3_art0.3,resnet18,stagewise,artifacts,0.5,0.3,0.3,0.9327,0.9327,0.1979770871639251,0.1979770871639251,10
artifacts_im0.5_noise0.3_art0.3,resnet18,static,artifacts,0.5,0.3,0.3,0.9430611387772244,0.9430611387772244,0.1918515534902181,0.1918515534902181,10
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,artifacts,0.5,0.3,0.5,0.95356,0.95356,0.135443523645401,0.135443523645401,10
artifacts_im0.5_noise0.3_art0.5,resnet18,online,artifacts,0.5,0.3,0.5,0.9611333333333332,0.9611333333333332,0.131209744199117,0.131209744199117,10
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,artifacts,0.5,0.3,0.5,0.9047,0.9047,0.2807432687282562,0.2807432687282562,10
artifacts_im0.5_noise0.3_art0.5,resnet18,static,artifacts,0.5,0.3,0.5,0.9102417951640968,0.9102417951640968,0.278666842475166,0.278666842475166,10
imbalance_im0.3_noise0.3_art0.5,resnet18,baseline,imbalance,0.3,0.3,0.5,0.9786593406593408,0.9782857142857144,0.0627380777217529,0.0631824760941358,10
imbalance_im0.3_noise0.3_art0.5,resnet18,online,imbalance,0.3,0.3,0.5,0.9954578754578756,0.9954578754578756,0.025452081373323,0.025452081373323,10
imbalance_im0.3_noise0.3_art0.5,resnet18,stagewise,imbalance,0.3,0.3,0.5,0.9673076923076924,0.9673076923076924,0.0967885775880499,0.0967885775880499,10
imbalance_im0.3_noise0.3_art0.5,resnet18,static,imbalance,0.3,0.3,0.5,0.9813410694270456,0.9813410694270456,0.0741080396833307,0.0741080396833307,10
imbalance_im0.6_noise0.3_art0.5,resnet18,baseline,imbalance,0.6,0.3,0.5,0.980219512195122,0.980219512195122,0.0615548592529645,0.0615548592529645,10
imbalance_im0.6_noise0.3_art0.5,resnet18,online,imbalance,0.6,0.3,0.5,0.9879674796747968,0.9879674796747968,0.048843898530898,0.048843898530898,10
imbalance_im0.6_noise0.3_art0.5,resnet18,stagewise,imbalance,0.6,0.3,0.5,0.964329268292683,0.964329268292683,0.1096734312540147,0.1096734312540147,10
imbalance_im0.6_noise0.3_art0.5,resnet18,static,imbalance,0.6,0.3,0.5,0.9827321284846712,0.9827321284846712,0.0729759947469115,0.0729759947469115,10
noisy_im0.5_noise0.3_art0.5,resnet18,baseline,noisy,0.5,0.3,0.5,0.9021,0.9021,0.3073875903129577,0.3073875903129577,10
noisy_im0.5_noise0.3_art0.5,resnet18,online,noisy,0.5,0.3,0.5,0.9684,0.9684,0.1298131722768147,0.1298131722768147,10
noisy_im0.5_noise0.3_art0.5,resnet18,stagewise,noisy,0.5,0.3,0.5,0.6281,0.6281,1.2363491649627685,1.2363491649627685,10
noisy_im0.5_noise0.3_art0.5,resnet18,static,noisy,0.5,0.3,0.5,0.970058802352094,0.970058802352094,0.111232419167334,0.111232419167334,10
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,noisy,0.5,0.4,0.5,0.88122,0.88122,0.3703792918014526,0.3703792918014526,10
noisy_im0.5_noise0.4_art0.5,resnet18,online,noisy,0.5,0.4,0.5,0.9068666666666668,0.9068666666666668,0.3351919811248779,0.3351919811248779,10
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,noisy,0.5,0.4,0.5,0.7176,0.7176,0.8968862361907959,0.8968862361907959,10
noisy_im0.5_noise0.4_art0.5,resnet18,static,noisy,0.5,0.4,0.5,0.6553068938621227,0.6553068938621227,1.0857767988540148,1.0857767988540148,10
original_im0.5_noise0.3_art0.5,resnet18,baseline,original,0.0,0.0,0.0,0.97856,0.9764,0.0634624882400035,0.068386803047657,10
original_im0.5_noise0.3_art0.5,resnet18,online,original,0.0,0.0,0.0,0.988,0.9869333333333332,0.0505400753736495,0.0505400753736495,10
original_im0.5_noise0.3_art0.5,resnet18,stagewise,original,0.0,0.0,0.0,0.96925,0.96925,0.0923473411679267,0.0923473411679267,10
original_im0.5_noise0.3_art0.5,resnet18,static,original,0.0,0.0,0.0,0.9760004799904002,0.9760004799904002,0.0846642216480564,0.0846642216480564,10
