experiment,model,strategy,epoch,loss,acc,dataset_type,imbalance_factor,noise_level,artifact_level
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,0,1.38966049741745,0.50358,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,1,0.9359817766571045,0.6697,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,2,0.7306540621566773,0.74284,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,3,0.5661576025772095,0.8022,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,4,0.4258378957271576,0.85152,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,5,0.3218911538410187,0.88718,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,6,0.24578520933151246,0.91624,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,7,0.19837878806114198,0.93198,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,8,0.16110992710113525,0.94458,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,baseline,9,0.135443523645401,0.95356,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,0,0.8504156124750774,0.6975333333333333,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,1,0.6285723786989847,0.7824666666666666,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,2,0.438017595688502,0.8517333333333333,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,3,0.5788531082789103,0.8009333333333334,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,4,0.5520237362066904,0.809,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,5,0.4127007432619731,0.8595333333333334,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,6,0.3748386806964874,0.8764,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,7,0.3709321615219116,0.87025,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,8,0.33002596673965456,0.88825,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,stagewise,9,0.2807432687282562,0.9047,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,0,0.83928787354932,0.7008280331213248,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,1,0.6130504996267584,0.7872914916596664,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,2,0.44709518146617894,0.8453738149525981,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,3,1.0213089404419702,0.6538069238615227,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,4,0.6445673778174827,0.7768044639107218,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,5,0.4360425806491843,0.8534229315413692,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,6,1.0504545480622638,0.6437271254574909,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,7,0.6486682201780769,0.7724845503089938,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,8,0.4269783215444948,0.8577428451430972,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,static,9,0.27866684247516604,0.9102417951640968,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,0,1.7571096895853677,0.3685333333333333,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,1,1.3014002431869507,0.533,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,2,1.2119601721445719,0.5669333333333333,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,3,0.9671249256769816,0.6634666666666666,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,4,0.7196700415929158,0.7475333333333334,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,5,0.5217941419601441,0.8233333333333334,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,6,0.37248010581334434,0.8802666666666666,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,7,0.25610265197753906,0.9196666666666666,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,8,0.18514086672465008,0.9441333333333334,artifacts,0,0,0.5
artifacts_im0.5_noise0.3_art0.5,resnet18,online,9,0.13120974419911702,0.9611333333333333,artifacts,0,0,0.5
