experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,0,352,0.6526993675125969,0.7757333333333334,0.8038995928764343,0.7244,132.86902976036072,132.86902976036072,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,1,704,0.24477715911335415,0.9184444444444444,0.7210827247142791,0.7588,128.6525239944458,261.5215537548065,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,2,1056,0.09571006115807427,0.9701777777777778,0.7981490250587463,0.7464,129.26429200172424,390.78584575653076,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,3,1408,0.0382033219827546,0.9898444444444444,0.8468300872802734,0.7538,134.71345686912537,525.4993026256561,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,4,1760,0.02861324468983544,0.9919777777777777,0.8749669967651367,0.7488,139.34068179130554,664.8399844169617,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,5,2112,0.03357695000039207,0.9888,1.067364531135559,0.731,139.0645067691803,803.904491186142,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,6,2464,0.040302772717343435,0.9860666666666666,1.2175723419189453,0.7148,139.14417004585266,943.0486612319946,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,7,2816,0.0288765371521314,0.9902666666666666,1.2861288131713866,0.7148,145.85383081436157,1088.9024920463562,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,baseline,8,3168,0.028754215084844166,0.9906,0.9009756905555725,0.7654,146.27415204048157,1235.1766440868378,45000,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,0,106,0.6110132473353986,0.8005925925925926,0.9624818572998047,0.685,44.52065181732178,44.52065181732178,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,1,212,0.4159616020520528,0.8593333333333333,0.8061911553382873,0.7358,51.0139799118042,95.53463172912598,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,2,318,0.457780225665481,0.84,0.7467537731170655,0.7422,43.82064485549927,139.35527658462524,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,3,424,0.2546868377349995,0.9144444444444444,0.7547871996879577,0.7358,53.26940107345581,192.62467765808105,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,4,530,0.09828628467520079,0.9718518518518519,0.6440299350738525,0.7758,46.632503032684326,239.25718069076538,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,5,636,0.03874685763098575,0.9898518518518519,0.7314636033058166,0.75,48.361583948135376,287.61876463890076,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,6,742,0.019412372033767125,0.9957037037037038,0.7012575885772705,0.7634,50.50287389755249,338.12163853645325,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,7,848,0.008603750980562633,0.9981481481481481,0.7496439386844636,0.7574,45.02226185798645,383.1439003944397,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,8,954,0.003815253003327935,0.9993333333333333,0.7453370500087738,0.76,50.35628890991211,433.5001893043518,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,9,1060,0.0032499027799263044,0.9994074074074074,0.7610052865028382,0.7584,46.099604845047,479.5997941493988,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,10,1166,0.24762430373165342,0.9252592592592592,0.7642684719085694,0.7604,52.63689184188843,532.2366859912872,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,11,1272,0.07932782281548889,0.9777777777777777,0.6811420840263367,0.7898,47.85059571266174,580.087281703949,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,12,1378,0.03431354668350131,0.9909629629629629,0.7350233878612519,0.7854,52.21972608566284,632.3070077896118,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,13,1484,0.017700465343892573,0.9959259259259259,0.807199045085907,0.7736,47.75987195968628,680.0668797492981,13500,artifacts
cifar10_artifacts_blur_art0.5_resnet18,resnet18,stagewise,14,1590,0.010940937609584244,0.9972592592592593,0.6994200773239135,0.8038,49.4324631690979,729.499342918396,13500,artifacts
