experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,0,320,0.3869709699365146,0.8703061672933249,0.18863803713321686,0.9328,398.82448625564575,398.82448625564575,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,1,640,0.146171387224055,0.9506323550954636,0.15173591842651368,0.9478,410.2600610256195,809.0845472812653,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,2,960,0.08583143450309944,0.9704575418721617,0.15219936866164208,0.9548,424.75127387046814,1233.8358211517334,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,3,1280,0.06313439350846434,0.9788319742174911,0.14492237640544772,0.9582,411.827086687088,1645.6629078388214,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,4,1600,0.04536997038316049,0.985033448898872,0.15832816151306034,0.9548,441.6057529449463,2087.2686607837677,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,5,1920,0.03920500549848447,0.9872796523267737,0.19447559285759927,0.9538,462.2667860984802,2549.535446882248,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,6,2240,0.035797976975349824,0.9887445676058402,0.16532058744728564,0.9556,481.5540590286255,3031.0895059108734,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,7,2560,0.03332422320855637,0.9895258557546756,0.17660760159492492,0.9546,498.2775869369507,3529.367092847824,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,8,2880,0.032264772796315504,0.989647932027931,0.17635759158432485,0.9548,499.5056571960449,4028.872750043869,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,baseline,9,3200,0.025644823778286984,0.9915279066360663,0.1753036098793149,0.9566,504.1537148952484,4533.026464939117,40958,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,0,96,0.32569871309611353,0.8997314234556849,0.49626815402507785,0.8628,172.796954870224,172.796954870224,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,1,192,0.21506732610570722,0.9340766663953772,0.28490227296948434,0.9126,172.1237919330597,344.9207468032837,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,2,288,0.21552009320005872,0.9290306828355173,0.22017903351783752,0.931,177.64188599586487,522.5626327991486,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,3,384,0.13454888419591451,0.9567835924147473,0.1980967614173889,0.9342,179.8800277709961,702.4426605701447,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,4,480,0.05525955512299267,0.9825832180353219,0.18073810911476612,0.94,179.90588521957397,882.3485457897186,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,5,576,0.030455706302794226,0.9919427036705462,0.21020605807304382,0.9354,181.94832468032837,1064.296870470047,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,6,672,0.024374839581674686,0.993570440302759,0.19963098108172417,0.9358,188.07616877555847,1252.3730392456055,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,7,768,0.014614122420006077,0.9956864979246358,0.22528422139883042,0.9358,185.65692687034607,1438.0299661159515,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,8,864,0.009467974653517714,0.9969886872304061,0.23718776872940361,0.9334,179.3223397731781,1617.3523058891296,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,9,960,0.011219803367207338,0.9968259135671849,0.2413763450103812,0.9366,186.68823504447937,1804.040540933609,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,10,1056,0.00991178836181649,0.9971514608936274,0.2406429339770926,0.9332,185.90084600448608,1989.941386938095,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,11,1152,0.1691123302242216,0.9444941808415398,0.1965167525291443,0.9366,185.80875182151794,2175.750138759613,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,12,1248,0.07471981499554221,0.9766419793277448,0.2171581685408484,0.9326,193.8457601070404,2369.5958988666534,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,13,1344,0.0439633281163667,0.9858386912997477,0.22038581888973713,0.9416,192.91812014579773,2562.514019012451,12287,imbalance
cifar10_imbalance_im0.3_swin_t,swin_t,stagewise,14,1440,0.03794163832556336,0.9888500040693415,0.22499798429608345,0.9412,196.32602214813232,2758.8400411605835,12287,imbalance
