experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,0,289,0.44365385142945346,0.8519692291023349,0.27714210221767427,0.9054,85.15081906318665,85.15081906318665,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,1,578,0.11185078370192694,0.9652202177799447,0.2621806752204895,0.9128,84.07300305366516,169.2238221168518,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,2,867,0.030758004840010327,0.9923072755837261,0.2798047680363059,0.916,86.2748351097107,255.4986572265625,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,3,1156,0.014449173892952683,0.9961265507340593,0.30711247391700747,0.9152,86.8611249923706,342.3597822189331,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,4,1445,0.012877739809572658,0.9966141177745274,0.36719057455062865,0.9014,84.76860690116882,427.12838912010193,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,5,1734,0.021860831303168717,0.9930386261444282,0.35890433968305585,0.9098,84.67645907402039,511.8048481941223,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,6,2023,0.03465154651477566,0.9882713039709626,0.35486274434458465,0.9094,85.00863289833069,596.813481092453,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,7,2312,0.027999261505746418,0.9905737038842841,0.3551566097959876,0.9108,85.02596092224121,681.8394420146942,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,8,2601,0.012524094704436264,0.9962348989652744,0.3349040760755539,0.9192,85.60240602493286,767.4418480396271,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,9,2890,0.007834713032597406,0.99777886126009,0.3594633777502924,0.9174,86.24593305587769,853.6877810955048,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,baseline,10,3179,0.007763276567249833,0.9974267295086408,0.37672679379223845,0.9134,85.47195315361023,939.159734249115,36918,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,0,87,0.5401696779267783,0.8337697516930023,0.43076930050849915,0.8564,29.519078969955444,29.519078969955444,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,1,174,0.2476353285012611,0.9172009029345373,0.3493243097782135,0.886,29.831279039382935,59.35035800933838,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,2,261,0.30417810702835196,0.8969751693002257,0.2898538177728653,0.9046,28.744651556015015,88.0950095653534,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,3,348,0.18100805518051302,0.9386004514672687,0.2621748911738396,0.9096,28.925846099853516,117.02085566520691,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,4,435,0.059787182576836635,0.982844243792325,0.26600508677959445,0.9078,28.776742935180664,145.79759860038757,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,5,522,0.02034458956620225,0.9948532731376976,0.2663835547745228,0.9128,28.53578805923462,174.3333866596222,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,6,609,0.010078531518393526,0.9974717832957111,0.278133251029253,0.9066,28.34091591835022,202.6743025779724,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,7,696,0.004768985803880251,0.9990970654627539,0.2882478622496128,0.9018,31.486496686935425,234.16079926490784,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,8,783,0.0025673684807448033,0.9993679458239277,0.2863636825203896,0.9058,31.085901021957397,265.24670028686523,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,9,870,0.0017634463551639249,0.9998194130925507,0.27985110345184805,0.9066,30.891425132751465,296.1381254196167,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,10,957,0.0015621519879738613,0.9998194130925507,0.27676575231552125,0.9112,30.744132041931152,326.88225746154785,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,11,1044,0.0008187624167111696,1.0,0.28479969562888147,0.908,30.95337724685669,357.83563470840454,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,12,1131,0.12636037645571388,0.9624379232505643,0.34489645313620565,0.8908,30.995172023773193,388.83080673217773,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,13,1218,0.04239181584146706,0.9868171557562077,0.387751168012619,0.8888,31.078290939331055,419.9090976715088,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,14,1305,0.016420053241745006,0.9957562076749435,0.3316532925494015,0.9076,31.181427001953125,451.0905246734619,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,15,1392,0.008429500593658764,0.9977426636568849,0.33670105209425094,0.9134,31.044991970062256,482.13551664352417,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,16,1479,0.00467679950002892,0.9993679458239277,0.33675413563270123,0.9116,31.075309991836548,513.2108266353607,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,17,1566,0.0020962831231662437,0.9998194130925507,0.33908578713862225,0.9144,31.632509231567383,544.8433358669281,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,18,1653,0.0020371714641359,0.9998194130925507,0.3515918405108154,0.9098,31.242892742156982,576.0862286090851,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,19,1740,0.001343302566717898,0.9998194130925507,0.3600517392978072,0.9118,30.98589277267456,607.0721213817596,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,20,1827,0.0009944351284599676,1.0,0.3694372259384021,0.9112,31.116883039474487,638.1890044212341,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,21,1914,0.0007049287428436107,1.0,0.3735463917285204,0.912,31.18175506591797,669.3707594871521,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,22,2001,0.0008062380370678713,0.9999097065462754,0.3822989548133686,0.9084,31.270382165908813,700.6411416530609,11075,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,23,2117,0.4168442240709344,0.8576652221018418,0.2714009447336197,0.911,41.43135619163513,742.072497844696,14768,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,24,2233,0.0780841896990526,0.9754875406283857,0.2883101255271584,0.9114,40.44941997528076,782.5219178199768,14768,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,25,2349,0.022124301468628586,0.9943797399783315,0.286027201452665,0.9212,40.702274799346924,823.2241926193237,14768,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,26,2465,0.010129226928118733,0.9979008667388949,0.28030676070204935,0.9258,40.81673288345337,864.0409255027771,14768,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,27,2581,0.006024175210788297,0.9989165763813651,0.27995301480959167,0.9306,40.84438896179199,904.8853144645691,14768,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,28,2697,0.0027266189416634366,0.9996614301191766,0.28980984704811125,0.9318,40.9467670917511,945.8320815563202,14768,imbalance
cifar10_imbalance_im0.6_resnet18,resnet18,stagewise,29,2813,0.002251279458629607,0.999796858071506,0.2980969609075924,0.9284,41.271377086639404,987.1034586429596,14768,imbalance
