experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,0,352,1.5940276084687974,0.5716666666666667,0.6798190254211426,0.885,90.08059692382812,90.08059692382812,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,1,704,1.2690679075876872,0.6575333333333333,0.6544529490470886,0.8734,89.96551823616028,180.0461151599884,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,2,1056,0.9215834122021993,0.7267777777777777,0.6900009792327881,0.8136,90.27321219444275,270.31932735443115,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,3,1408,0.46950032839245265,0.8605111111111111,0.829707787322998,0.7544,90.52123999595642,360.8405673503876,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,4,1760,0.1567522227605184,0.9645333333333334,0.8505110759735107,0.7532,90.3368752002716,451.1774425506592,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,5,2112,0.04875132350458039,0.9929777777777777,0.8117441163063049,0.7642,90.00799584388733,541.1854383945465,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,6,2464,0.01877022440963321,0.9981555555555556,0.7620437816619873,0.788,90.41982698440552,631.605265378952,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,7,2816,0.010770056017902162,0.9989777777777777,0.7534881385803223,0.7862,89.80964207649231,721.4149074554443,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,baseline,8,3168,0.009000278772744867,0.9991111111111111,0.8452657966613769,0.7728,89.99340963363647,811.4083170890808,45000,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,stagewise,0,106,0.9583004500601027,0.7257777777777777,0.47522967948913575,0.85,29.197933197021484,29.197933197021484,13500,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,stagewise,1,212,1.297187498445864,0.669037037037037,0.5702423995018006,0.8728,29.02917194366455,58.227105140686035,13500,noisy
cifar10_noisy_noise0.3_resnet18,resnet18,stagewise,2,318,1.8817631868786282,0.47303703703703703,0.9532629747390747,0.8548,28.988319158554077,87.21542429924011,13500,noisy
