experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,0,352,2.117847741148207,0.3192,1.1993279830932617,0.886,439.768385887146,439.768385887146,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,1,704,2.038134400261773,0.3645777777777778,1.087963657093048,0.8964,439.2011830806732,878.9695689678192,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,2,1056,1.9858154746585421,0.38306666666666667,1.0528413594245911,0.8844,428.77860498428345,1307.7481739521027,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,3,1408,1.926838058789571,0.39882222222222224,1.016384684753418,0.875,438.8860831260681,1746.6342570781708,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,4,1760,1.8257617380989923,0.42677777777777776,1.0673743629455565,0.8284,439.4675099849701,2186.101767063141,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,5,2112,1.6877895219379002,0.4630444444444444,1.1055218671798706,0.7722,441.1910934448242,2627.292860507965,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,6,2464,1.4994063752704196,0.5190888888888889,1.1739349332809448,0.702,439.06329679489136,3066.3561573028564,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,7,2816,1.3365579298443264,0.5684888888888889,1.2997094230651856,0.6412,438.31079506874084,3504.6669523715973,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,baseline,8,3168,1.102890382862091,0.645,1.522523791694641,0.574,437.8534059524536,3942.520358324051,45000,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,0,106,1.6454049964834143,0.4846666666666667,0.5989412469863892,0.8784,145.1991307735443,145.1991307735443,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,1,212,1.411244088243555,0.6232592592592593,0.5902376132488251,0.8964,143.83451199531555,289.03364276885986,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,2,318,1.01062166206925,0.7675555555555555,0.4818603050231934,0.8946,143.886656999588,432.9202997684479,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,3,424,0.6698335703567222,0.8601481481481481,0.36222550137042997,0.9068,143.29581427574158,576.2161140441895,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,4,530,0.45544326434312044,0.9113333333333333,0.32361570385694505,0.9104,143.3308141231537,719.5469281673431,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,5,636,0.3194728975031111,0.9407407407407408,0.32403307267427445,0.905,143.01984190940857,862.5667700767517,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,6,742,0.23712331421286972,0.9561481481481482,0.3338366049528122,0.9054,136.32750797271729,998.894278049469,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,7,848,0.17035996816776416,0.9707407407407408,0.2901282763004303,0.9146,142.92362594604492,1141.817903995514,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,8,954,0.1280229003948194,0.9788148148148148,0.30191540105938913,0.9164,143.12567782402039,1284.9435818195343,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,9,1060,0.11197701447981376,0.9785925925925926,0.2819327821135521,0.9178,143.6061089038849,1428.5496907234192,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,10,1166,2.343771852705214,0.1694074074074074,1.6855580379486084,0.775,143.47280311584473,1572.022493839264,13500,noisy
cifar10_noisy_noise0.6_swin_t,swin_t,stagewise,11,1272,2.181212296097367,0.23733333333333334,1.5073945322036744,0.837,143.1798219680786,1715.2023158073425,13500,noisy
