experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
cifar10_original_resnet18,resnet18,baseline,0,352,0.4159569906923506,0.8620888888888889,0.25493597271442414,0.9088,69.07052993774414,69.07052993774414,45000,original
cifar10_original_resnet18,resnet18,baseline,1,704,0.1079637118558089,0.9652666666666667,0.2400619141459465,0.9236,91.5396101474762,160.61014008522034,45000,original
cifar10_original_resnet18,resnet18,baseline,2,1056,0.03358871530890465,0.99,0.22741064581871032,0.9334,95.81646609306335,256.4266061782837,45000,original
cifar10_original_resnet18,resnet18,baseline,3,1408,0.0204044825149907,0.9942,0.28468589285779744,0.9224,90.74043107032776,347.16703724861145,45000,original
cifar10_original_resnet18,resnet18,baseline,4,1760,0.023601166224479674,0.9926666666666667,0.2998362690448761,0.9186,90.58068990707397,437.7477271556854,45000,original
cifar10_original_resnet18,resnet18,baseline,5,2112,0.020131767209702067,0.9934,0.29312116966843604,0.9188,91.40631198883057,529.154039144516,45000,original
cifar10_original_resnet18,resnet18,baseline,6,2464,0.026647220541040104,0.9909333333333333,0.3286328020650428,0.9176,90.91381502151489,620.0678541660309,45000,original
cifar10_original_resnet18,resnet18,baseline,7,2816,0.025137392246557606,0.9913333333333333,0.3412551751345396,0.9138,90.90428686141968,710.9721410274506,45000,original
cifar10_original_resnet18,resnet18,baseline,8,3168,0.016603789762987032,0.9947333333333334,0.2727785824708175,0.9344,90.83107209205627,801.8032131195068,45000,original
cifar10_original_resnet18,resnet18,stagewise,0,106,0.45216012039007963,0.8606666666666667,0.41230124970674514,0.8632,30.71295690536499,30.71295690536499,13500,original
cifar10_original_resnet18,resnet18,stagewise,1,212,0.2380348885368418,0.9212592592592592,0.33008706542253496,0.888,29.469077110290527,60.18203401565552,13500,original
cifar10_original_resnet18,resnet18,stagewise,2,318,0.26771535981142963,0.9104444444444444,0.27678154930472376,0.9038,29.468315839767456,89.65034985542297,13500,original
cifar10_original_resnet18,resnet18,stagewise,3,424,0.1491174310710695,0.9505925925925925,0.2453513712644577,0.916,29.419259786605835,119.06960964202881,13500,original
