experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
cifar10_original_swin_t,swin_t,baseline,0,352,0.37188697963025835,0.8751333333333333,0.18245778818205,0.9374,391.89717507362366,391.89717507362366,45000,original
cifar10_original_swin_t,swin_t,baseline,1,704,0.13956532617939843,0.9528444444444445,0.14839897308535874,0.95,446.6323311328888,838.5295062065125,45000,original
cifar10_original_swin_t,swin_t,baseline,2,1056,0.08375754588776164,0.9716888888888889,0.14873129461510107,0.9562,476.54470801353455,1315.074214220047,45000,original
cifar10_original_swin_t,swin_t,baseline,3,1408,0.061078942285643686,0.9791333333333333,0.15818643473936245,0.9568,470.89062094688416,1785.9648351669312,45000,original
cifar10_original_swin_t,swin_t,baseline,4,1760,0.05028581426143646,0.9833777777777778,0.17344686999153347,0.9552,487.31403398513794,2273.278869152069,45000,original
cifar10_original_swin_t,swin_t,baseline,5,2112,0.041947056011358896,0.9864888888888889,0.14186291760504247,0.9588,502.015408039093,2775.294277191162,45000,original
cifar10_original_swin_t,swin_t,baseline,6,2464,0.03376216764450073,0.9887777777777778,0.1816698339614086,0.9564,507.39287209510803,3282.68714928627,45000,original
cifar10_original_swin_t,swin_t,baseline,7,2816,0.0353336388943096,0.9884222222222222,0.1658882224458852,0.9564,585.2852029800415,3867.9723522663116,45000,original
cifar10_original_swin_t,swin_t,baseline,8,3168,0.028838831784327824,0.9904,0.16834402658669279,0.9594,608.82204413414,4476.794396400452,45000,original
cifar10_original_swin_t,swin_t,stagewise,0,106,0.34347720504248586,0.8927407407407407,0.4577921483516693,0.8732,207.65159964561462,207.65159964561462,13500,original
cifar10_original_swin_t,swin_t,stagewise,1,212,0.20513066145225808,0.9362222222222222,0.25979215421378615,0.9192,208.20841193199158,415.8600115776062,13500,original
cifar10_original_swin_t,swin_t,stagewise,2,318,0.21855296841815666,0.928,0.20316040681302547,0.9304,210.46902084350586,626.3290324211121,13500,original
