arch,strategy,dataset,scale,degradation,deg_level,epoch,total_steps,train_loss,train_psnr,val_loss,val_psnr,subset_size,epoch_time,total_time
swinir,baseline,div2k,4,noise,0.5,0,45,0.1274552758369181,16.94611536661784,0.05952091342769563,21.695574593544006,720,266.3576600551605,266.3576600551605
swinir,baseline,div2k,4,noise,0.5,1,90,0.06480432657731904,21.33015407986111,0.05319389880169183,22.75292353630066,720,347.2996389865875,613.657299041748
swinir,baseline,div2k,4,noise,0.5,2,135,0.05602304008271959,22.882990180121528,0.045615852903574707,23.781318688392638,720,400.08896493911743,1013.7462639808655
swinir,baseline,div2k,4,noise,0.5,3,180,0.050984255141682096,23.882479095458983,0.04435413971077651,24.027957820892333,720,404.0958790779114,1417.8421430587769
swinir,baseline,div2k,4,noise,0.5,4,225,0.04939211582144101,24.277370410495333,0.045802015368826686,23.915356349945068,720,394.3757059574127,1812.2178490161896
swinir,baseline,div2k,4,noise,0.5,5,270,0.047942496670617,24.563507927788628,0.04363689976744354,24.20133321285248,720,416.77147793769836,2228.989326953888
swinir,baseline,div2k,4,noise,0.5,6,315,0.047287687824832066,24.68654573228624,0.04453612563665956,24.09497790336609,720,436.3599569797516,2665.3492839336395
swinir,baseline,div2k,4,noise,0.5,7,360,0.046539773212538826,24.860988447401258,0.04293121164664626,24.347679495811462,720,439.9169499874115,3105.266233921051
swinir,baseline,div2k,4,noise,0.5,8,405,0.04581311684515741,25.046544859144422,0.041818240634165706,24.467486834526063,720,442.96171498298645,3548.2279489040375
swinir,baseline,div2k,4,noise,0.5,9,450,0.04481209947003258,25.305767356024848,0.04266497609205544,24.358060812950136,720,450.3924160003662,3998.6203649044037
swinir,baseline,div2k,4,noise,0.5,10,495,0.04587919513384501,25.083046044243705,0.04567932584322989,24.011168122291565,720,440.4143581390381,4439.034723043442
swinir,baseline,div2k,4,noise,0.5,11,540,0.047257635990778604,24.812184015909832,0.0470276846550405,23.864474153518678,720,450.51076316833496,4889.545486211777
swinir,baseline,div2k,4,noise,0.5,12,585,0.04686326194140646,24.915634155273438,0.04520162334665656,24.080723786354064,720,435.3657522201538,5324.9112384319305
swinir,baseline,div2k,4,noise,0.5,13,630,0.045428538074096046,25.199741151597763,0.04190575671382248,24.495907807350157,720,420.2625319957733,5745.173770427704
swinir,baseline,div2k,4,noise,0.5,14,675,0.045373445335361695,25.203875011867947,0.04249136170838028,24.42758936882019,720,428.8268563747406,6174.0006268024445
swinir,baseline,div2k,4,noise,0.5,15,720,0.04350534689923127,25.579428651597766,0.04313411109615117,24.31415557861328,720,447.0275568962097,6621.028183698654
swinir,baseline,div2k,4,noise,0.5,16,765,0.044306560274627475,25.426837878757052,0.04261424257420003,24.414548325538636,720,445.7229917049408,7066.751175403595
swinir,baseline,div2k,4,noise,0.5,17,810,0.04504574570390913,25.314887025621204,0.041239073197357354,24.59558298587799,720,435.48646116256714,7502.237636566162
swinir,baseline,div2k,4,noise,0.5,18,855,0.042595574590894913,25.783863406711156,0.04199257406871766,24.492383456230165,720,428.0711569786072,7930.308793544769
swinir,baseline,div2k,4,noise,0.5,19,900,0.044284603579176796,25.51262512207031,0.04249249894637615,24.416382098197936,720,435.0891761779785,8365.397969722748
swinir,baseline,div2k,4,noise,0.5,20,945,0.04495583400130272,25.300716188218857,0.041698400001041594,24.544043445587157,720,448.7778379917145,8814.175807714462
swinir,baseline,div2k,4,noise,0.5,21,990,0.043806537489096325,25.675812360975478,0.04154369665775448,24.550056982040406,720,452.04413414001465,9266.219941854477
swinir,baseline,div2k,4,noise,0.5,22,1035,0.04249943842490514,25.969712448120116,0.04047565411310643,24.713091874122618,720,433.0170900821686,9699.237031936646
swinir,baseline,div2k,4,noise,0.5,23,1080,0.04299399538172616,25.706034427218967,0.04081519918981939,24.698537492752074,720,457.04452991485596,10156.281561851501
swinir,baseline,div2k,4,noise,0.5,24,1125,0.04444735041922993,25.56775334676107,0.04000508768949658,24.804760360717772,720,440.81945419311523,10597.101016044617
swinir,baseline,div2k,4,noise,0.5,25,1170,0.042631168084012135,25.81609018113878,0.04062543250620365,24.692451500892638,720,428.35701990127563,11025.458035945892
swinir,baseline,div2k,4,noise,0.5,26,1215,0.042326632804340784,25.877250374688042,0.03996293165255338,24.82849907875061,720,438.0067412853241,11463.464777231216
swinir,baseline,div2k,4,noise,0.5,27,1260,0.04202658947971132,26.00657424926758,0.03971250057220459,24.851591920852663,720,437.8632597923279,11901.328037023544
swinir,baseline,div2k,4,noise,0.5,28,1305,0.04197382219135761,26.02764655219184,0.04048339284490794,24.73825674057007,720,424.6952979564667,12326.023334980011
swinir,baseline,div2k,4,noise,0.5,29,1350,0.044112863639990486,25.600501844618055,0.04704777607694268,23.985552501678466,720,427.38936710357666,12753.412702083588
swinir,baseline,div2k,4,noise,0.5,30,1395,0.04233097487853633,26.004393174913194,0.03865196774713695,25.014534330368043,720,416.2664089202881,13169.679111003876
swinir,baseline,div2k,4,noise,0.5,31,1440,0.04066936386128266,26.435407808091906,0.039827677374705675,24.88003306388855,720,392.22363114356995,13561.902742147446
swinir,baseline,div2k,4,noise,0.5,32,1485,0.04151386498577065,26.21629197862413,0.04044417892582715,24.83011348247528,720,403.5790729522705,13965.481815099716
swinir,baseline,div2k,4,noise,0.5,33,1530,0.042407180410292414,26.00495130750868,0.03925690921023488,24.93140287399292,720,437.0527901649475,14402.534605264664
swinir,baseline,div2k,4,noise,0.5,34,1575,0.04157178451617559,26.146176486545137,0.04121692616026849,24.68101236820221,720,430.94883704185486,14833.483442306519
swinir,baseline,div2k,4,noise,0.5,35,1620,0.04246570530037085,26.120310465494793,0.03808058728463948,25.13275182247162,720,435.91271710395813,15269.396159410477
swinir,baseline,div2k,4,noise,0.5,36,1665,0.04139891742832131,26.31343650817871,0.040085711609572174,24.914191913604736,720,438.758337020874,15708.15449643135
swinir,baseline,div2k,4,noise,0.5,37,1710,0.04074856258100933,26.34034627278646,0.046068881452083585,24.17433934211731,720,443.8542809486389,16152.00877737999
swinir,baseline,div2k,4,noise,0.5,38,1755,0.043422935903072356,25.855507066514757,0.03840082641690969,25.095169615745544,720,440.61171197891235,16592.620489358902
swinir,baseline,div2k,4,noise,0.5,39,1800,0.04133434494336446,26.28052881028917,0.03875895949313417,25.039262771606445,720,425.9990978240967,17018.619587183
swinir,baseline,div2k,4,noise,0.5,40,1845,0.03954928177926276,26.723823716905382,0.03866850938647985,25.03489420413971,720,424.2006080150604,17442.82019519806
swinir,baseline,div2k,4,noise,0.5,41,1890,0.04019341646797127,26.623887168036568,0.03851907912176102,25.090520119667055,720,420.4601640701294,17863.28035926819
