arch,strategy,dataset,scale,degradation,deg_level,epoch,total_steps,train_loss,train_psnr,val_loss,val_psnr,subset_size,epoch_time,total_time
swinir,baseline,div2k,4,original,0.0,0,45,0.12381163818968667,17.00895396338569,0.05860930713824928,21.71673376560211,720,258.79952812194824,258.79952812194824
swinir,baseline,div2k,4,original,0.0,1,90,0.062296692944235274,21.61815465291341,0.047640429646708074,23.49931390285492,720,357.69850969314575,616.498037815094
swinir,baseline,div2k,4,original,0.0,2,135,0.05668387115001679,22.87868406507704,0.041566412069369105,24.460700702667236,720,406.2791168689728,1022.7771546840668
swinir,baseline,div2k,4,original,0.0,3,180,0.04552828475005097,24.687290318806966,0.03996768645010888,24.806882047653197,720,425.93977880477905,1448.7169334888458
swinir,baseline,div2k,4,original,0.0,4,225,0.045521731095181574,25.093919881184895,0.036635336955077945,25.34680645465851,720,430.984867811203,1879.7018013000488
swinir,baseline,div2k,4,original,0.0,5,270,0.04730640020635393,24.94914025200738,0.037299601803533734,25.34677755832672,720,415.9273431301117,2295.6291444301605
swinir,baseline,div2k,4,original,0.0,6,315,0.04105598500205411,26.07256427341037,0.03519399588694796,25.783850693702696,720,2691.028470993042,4986.6576154232025
swinir,baseline,div2k,4,original,0.0,7,360,0.03871880451010333,26.66225577460395,0.033747597876936195,26.00597813129425,720,507.78630805015564,5494.443923473358
swinir,baseline,div2k,4,original,0.0,8,405,0.03811380291978518,26.7351747724745,0.039187398902140555,25.399457621574403,720,490.47417283058167,5984.91809630394
swinir,baseline,div2k,4,original,0.0,9,450,0.03923599161207676,26.66922704908583,0.0331669369363226,26.180428767204283,720,449.6052761077881,6434.523372411728
swinir,baseline,div2k,4,original,0.0,10,495,0.03631975253423055,27.15609016418457,0.03198876600945368,26.36628794670105,720,439.7158958911896,6874.2392683029175
swinir,baseline,div2k,4,original,0.0,11,540,0.03508685761027866,27.553987884521483,0.031203817529603838,26.495420813560486,720,1420.7994029521942,8295.038671255112
swinir,baseline,div2k,4,original,0.0,12,585,0.03425058883925279,27.81469701131185,0.03127588233910501,26.529081225395203,720,3325.59010887146,11620.628780126572
swinir,baseline,div2k,4,original,0.0,13,630,0.03370422787136502,27.995424058702255,0.03422912615351379,26.082738590240478,720,3449.0584831237793,15069.687263250351
swinir,baseline,div2k,4,original,0.0,14,675,0.035999306663870814,27.498350779215496,0.032703943632077424,26.362360882759095,720,2860.597413778305,17930.284677028656
swinir,baseline,div2k,4,original,0.0,15,720,0.035361276235845354,27.813143836127388,0.03185947075253352,26.465231943130494,720,442.054890871048,18372.339567899704
