experiment,model,strategy,epoch,loss,acc,dataset_type,imbalance_factor,noise_level,artifact_level
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,0,2.0315100510025026,0.3383,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,1,1.8021306313705445,0.44832,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,2,1.6615743460083008,0.49548,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,3,1.4972181182861328,0.54024,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,4,1.2804431616973877,0.60082,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,5,1.0382750862503052,0.67074,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,6,0.8010521572113037,0.7445,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,7,0.616181863937378,0.80058,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,8,0.4635476134109497,0.8507,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,baseline,9,0.3703792918014526,0.88122,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,0,1.7002669115702311,0.47886666666666666,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,1,1.4725352389653523,0.5460666666666667,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,2,1.1808911913553874,0.629,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,3,1.4429063784281413,0.5548666666666666,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,4,1.3987749153137208,0.5752,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,5,1.1810806824366251,0.6316,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,6,1.0684021327972413,0.67035,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,7,1.1079796630859375,0.6579,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,8,0.9564169494628906,0.70295,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,stagewise,9,0.8968862361907959,0.7176,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,0,1.6947693323496795,0.47863914556582265,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,1,1.4815385453228644,0.5425417016680667,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,2,1.2089864911401342,0.624864994599784,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,3,1.9117710603093847,0.41513169736605265,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,4,1.6032199210036873,0.5007499850003,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,5,1.3358714054690388,0.5795284094318114,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,6,1.9750958372193792,0.3914321713565729,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,7,1.6691706442565446,0.4833503329933401,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,8,1.406276051131409,0.5586488270234595,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,static,9,1.0857767988540148,0.6553068938621227,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,0,2.1678428170522053,0.26126666666666665,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,1,1.9956037745157877,0.35813333333333336,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,2,1.9638417469024658,0.3841333333333333,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,3,1.7849817037582398,0.4538,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,4,1.582958390490214,0.5103333333333333,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,5,1.3316106865564983,0.5804666666666667,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,6,1.009201750055949,0.6818666666666666,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,7,0.7272800379435221,0.7754,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,8,0.4845735101699829,0.8602666666666666,noisy,0,0.4,0
noisy_im0.5_noise0.4_art0.5,resnet18,online,9,0.3351919811248779,0.9068666666666667,noisy,0,0.4,0
