experiment,model,strategy,epoch,loss,acc,dataset_type,imbalance_factor,noise_level,artifact_level
original_im0.5_noise0.3_art0.5,resnet18,baseline,0,1.0453766501998902,0.64072,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,1,0.5673023996639251,0.80442,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,2,0.37280536492347716,0.87346,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,3,0.24037686716079712,0.91962,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,4,0.15540442514419556,0.94712,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,5,0.10300719418048859,0.96662,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,6,0.08556601887226105,0.97158,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,7,0.06624332818031312,0.97802,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,8,0.06346248824000358,0.97856,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,baseline,9,0.06838680304765701,0.9764,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,0,0.46731808106104533,0.8396666666666667,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,1,0.29338939757347104,0.8997333333333334,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,2,0.15895728178024293,0.9514666666666667,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,3,0.27217453090349836,0.9114666666666666,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,4,0.2404495652516683,0.9186666666666666,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,5,0.16907344109217326,0.9475333333333333,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,6,0.13389049153327942,0.95785,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,7,0.13800965316295624,0.95345,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,8,0.10836287038326263,0.9643,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,stagewise,9,0.09234734116792678,0.96925,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,0,0.4823353410153404,0.8328933157326293,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,1,0.28643958268940384,0.905916236649466,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,2,0.16702496191469057,0.9480979239169567,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,3,0.644165245491906,0.7843643127137457,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,4,0.3005820802176171,0.8980020399592008,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,5,0.1486965590878841,0.9535609287814244,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,6,0.6782635989243936,0.7787244255114898,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,7,0.30115071594046366,0.8980620387592249,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,8,0.155734830610881,0.9518809623807524,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,static,9,0.08466422164805644,0.9760004799904002,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,0,1.4614101472854615,0.49333333333333335,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,1,0.9158117010116578,0.6883333333333334,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,2,0.8369893106778463,0.7125333333333334,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,3,0.5963744930267334,0.7962666666666667,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,4,0.3763267100334167,0.8763333333333333,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,5,0.22450587288538615,0.9319333333333333,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,6,0.12356110857327779,0.9659333333333333,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,7,0.08328452892303467,0.9775333333333334,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,8,0.05100915377934774,0.988,original,0,0,0
original_im0.5_noise0.3_art0.5,resnet18,online,9,0.050540075373649594,0.9869333333333333,original,0,0,0
