experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,0,36,0.9156969108051723,0.7217777777777777,0.6103783998489379,0.784,184.38947916030884,184.38947916030884,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,1,72,0.22368599481052823,0.9404444444444444,0.5788320717811585,0.808,187.12137007713318,371.510849237442,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,2,108,0.07171679042445289,0.9922222222222222,0.6399459714889526,0.794,189.8463258743286,561.3571751117706,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,3,144,0.02928622829914093,0.9997777777777778,0.6325933651924134,0.788,190.25275993347168,751.6099350452423,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,4,180,0.015062576138310963,1.0,0.6282681484222412,0.792,189.23310208320618,940.8430371284485,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,5,216,0.009301985421114498,1.0,0.6538262763023377,0.776,190.7373468875885,1131.580384016037,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,6,252,0.006702563416626718,1.0,0.6583081345558166,0.786,192.49300289154053,1324.0733869075775,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,7,288,0.004883486330923107,1.0,0.6692424273490906,0.782,192.8046989440918,1516.8780858516693,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,8,324,0.004000381896893184,1.0,0.6579850454330445,0.786,193.15699410438538,1710.0350799560547,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,9,360,0.00353314705275827,1.0,0.6796155581474305,0.776,195.09035515785217,1905.1254351139069,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,10,396,0.002670083152751128,1.0,0.6838828868865967,0.784,194.38021779060364,2099.5056529045105,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,11,432,0.00225384357612994,1.0,0.6783010048866271,0.78,193.28623509407043,2292.791887998581,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,12,468,0.002188991336358918,1.0,0.6616002631187439,0.782,191.53771305084229,2484.329601049423,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,13,504,0.0018790982481506136,1.0,0.6906891474723816,0.782,187.22046995162964,2671.550071001053,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,14,540,0.0016716865532928043,1.0,0.7532400369644165,0.766,191.01012110710144,2862.5601921081543,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,15,576,0.001745680398411221,1.0,0.8278511481285096,0.762,187.33628106117249,3049.896473169327,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,16,612,0.013656853208939234,0.9975555555555555,0.6411450524330139,0.81,184.51770496368408,3234.414178133011,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,17,648,0.028255113926198748,0.9908888888888889,1.019002017021179,0.732,183.9857039451599,3418.399882078171,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,18,684,0.023201464037100474,0.9953333333333333,0.8592442421913147,0.746,185.08790111541748,3603.4877831935883,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,19,720,0.01326242850224177,0.9975555555555555,0.7455712113380432,0.776,184.08587193489075,3787.573655128479,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,20,756,0.007955077168428236,0.9986666666666667,0.7852771110534668,0.768,185.6831979751587,3973.2568531036377,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,21,792,0.0028642865187591977,1.0,0.8047759370803833,0.77,185.19886684417725,4158.455719947815,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,22,828,0.010562559439076318,0.9986666666666667,0.7509387316703796,0.774,186.4397349357605,4344.895454883575,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,23,864,0.0033267130768961377,1.0,0.7770553336143494,0.78,186.98859786987305,4531.8840527534485,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,24,900,0.0016316621013813548,1.0,0.7371688938140869,0.794,183.68808698654175,4715.57213973999,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,25,936,0.0012006924317942726,1.0,0.6930950140953064,0.814,183.69274711608887,4899.264886856079,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,26,972,0.0016684686864415804,0.9997777777777778,0.7165080070495605,0.784,178.86139798164368,5078.126284837723,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,27,1008,0.001056171465251181,1.0,0.7292848315238952,0.796,172.02359676361084,5250.149881601334,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,28,1044,0.001080642440252834,1.0,0.7600528907775879,0.786,179.33907079696655,5429.4889523983,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,29,1080,0.003203530734611882,0.9997777777777778,0.7791609559059143,0.776,189.26535201072693,5618.754304409027,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,30,1116,0.002354295288523038,0.9997777777777778,0.6832772340774537,0.802,190.83918714523315,5809.59349155426,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,31,1152,0.0009807072824074162,1.0,0.66417866563797,0.794,191.94676899909973,6001.54026055336,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,32,1188,0.0007190936973525418,1.0,0.696010407447815,0.788,188.12916493415833,6189.669425487518,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,33,1224,0.0005141233176820808,1.0,0.7033042883872986,0.79,191.7399079799652,6381.4093334674835,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,34,1260,0.0005323919422096676,1.0,0.7404940752983094,0.784,190.8698811531067,6572.27921462059,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,35,1296,0.0006083358700076739,1.0,0.7006116919517517,0.792,190.7883529663086,6763.067567586899,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,36,1332,0.002495624781068828,0.9995555555555555,0.8534045839309692,0.776,190.73424887657166,6953.8018164634705,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,37,1368,0.0012552255725281106,1.0,0.8247169418334961,0.77,189.71890783309937,7143.52072429657,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,38,1404,0.001496159469915761,0.9997777777777778,0.8861305122375488,0.762,192.68052411079407,7336.201248407364,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,39,1440,0.02286050552957588,0.9928888888888889,1.4515787706375123,0.636,193.2710268497467,7529.472275257111,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,baseline,40,1476,0.05276131130506595,0.9842222222222222,0.6635572619438171,0.806,196.72095322608948,7726.1932284832,4500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,0,11,1.3422603017312509,0.6259259259259259,1.1798938426971435,0.692,68.50868129730225,68.50868129730225,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,1,22,0.7337204157864606,0.7918518518518518,0.7071677231788636,0.76,69.23732900619507,137.74601030349731,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,2,33,0.6376621220729969,0.8081481481481482,0.6227377414703369,0.782,69.60240387916565,207.34841418266296,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,3,44,0.3001705148264214,0.9155555555555556,0.6077449245452881,0.784,69.82703900337219,277.17545318603516,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,4,55,0.07129537171787685,0.9911111111111112,0.5938645377159119,0.8,69.40985584259033,346.5853090286255,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,5,66,0.03218828162661305,0.9992592592592593,0.5866011319160461,0.802,70.41762495040894,417.0029339790344,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,6,77,0.018797590204135135,1.0,0.6118319358825683,0.786,70.94341015815735,487.9463441371918,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,7,88,0.012881138636558145,1.0,0.6402624459266663,0.776,71.13324618339539,559.0795903205872,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,8,99,0.010616990478226432,1.0,0.6551811666488647,0.772,71.02022671699524,630.0998170375824,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,9,110,0.007984049970077144,1.0,0.6639432091712951,0.766,71.35122513771057,701.451042175293,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,10,121,0.007146004710898355,1.0,0.6718107433319092,0.766,74.31454706192017,775.7655892372131,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,11,132,0.00587820778152457,1.0,0.6786481509208679,0.762,73.24768996238708,849.0132791996002,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,12,143,0.005231773521130283,1.0,0.6834552092552185,0.77,72.3855140209198,921.39879322052,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,13,154,0.005015020597450159,1.0,0.6923983821868896,0.768,71.92795395851135,993.3267471790314,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,14,165,0.004367232931156953,1.0,0.6904677939414978,0.766,72.19871425628662,1065.525461435318,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,15,176,0.0037550514515627314,1.0,0.6981233739852906,0.762,72.97067403793335,1138.4961354732513,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,16,187,0.003551200426839016,1.0,0.7029955463409424,0.76,73.654452085495,1212.1505875587463,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,17,198,0.003503622316789848,1.0,0.7087336225509644,0.76,72.72517490386963,1284.875762462616,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,18,209,0.0032567794841748695,1.0,0.7244102764129638,0.758,72.05870795249939,1356.9344704151154,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,19,220,0.003350563033449429,1.0,0.731819706439972,0.756,73.2235381603241,1430.1580085754395,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,stagewise,20,231,0.0028132244747959903,1.0,0.7224581623077393,0.758,74.8710458278656,1505.029054403305,1350,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,static,0,48,0.08641121365626653,0.9946666666666667,0.5991238541603089,0.812,75.83821392059326,75.83821392059326,1500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,static,1,60,0.034436421180764835,1.0,0.6184725284576416,0.806,74.37966895103455,150.2178828716278,1500,artifacts
stl10_artifacts_blur_art0.4_resnet18,resnet18,static,2,72,0.017934694439172744,1.0,0.644707808971405,0.79,76.05459308624268,226.27247595787048,1500,artifacts
