experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,0,36,0.8784678959581587,0.7451111111111111,1.2642602949142456,0.566,202.17755222320557,202.17755222320557,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,1,72,0.18174582403235964,0.9613333333333334,1.1124670667648315,0.626,199.41926884651184,401.5968210697174,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,2,108,0.05613910174369812,0.9946666666666667,0.9570857329368592,0.662,214.5845649242401,616.1813859939575,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,3,144,0.02102596828010347,1.0,0.9439421410560608,0.676,218.88066506385803,835.0620510578156,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,4,180,0.011763692013091511,1.0,0.9346326599121094,0.688,210.64663195610046,1045.708683013916,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,5,216,0.008049451085428396,0.9997777777777778,0.9488733081817627,0.698,200.24932312965393,1245.95800614357,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,6,252,0.005751955627567238,1.0,0.9780343217849732,0.676,219.66098928451538,1465.6189954280853,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,7,288,0.00424796474725008,1.0,0.9373645167350769,0.686,221.1961829662323,1686.8151783943176,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,8,324,0.0036134485171900855,1.0,0.8966768021583558,0.702,221.22288012504578,1908.0380585193634,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,9,360,0.0037017197791073056,1.0,0.9388176765441895,0.674,231.92857336997986,2139.9666318893433,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,10,396,0.002638026383188036,1.0,0.9125719795227051,0.696,234.83359003067017,2374.8002219200134,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,11,432,0.002137609548452828,1.0,0.8853965764045715,0.7,223.52049493789673,2598.32071685791,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,12,468,0.0020249261719485125,1.0,0.8810785522460938,0.7,221.29559993743896,2819.616316795349,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,13,504,0.0017500181777609718,1.0,0.8824831666946411,0.7,200.5275640487671,3020.143880844116,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,14,540,0.0015124364958869086,1.0,0.8832407083511352,0.704,191.3113830089569,3211.455263853073,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,15,576,0.0016697103331486385,0.9997777777777778,0.8294836535453797,0.722,189.54991126060486,3401.005175113678,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,16,612,0.020845677081081603,0.996,1.2969922819137574,0.596,209.367938041687,3610.373113155365,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,17,648,0.014858155790302488,0.9977777777777778,1.3058008832931518,0.606,219.70370292663574,3830.0768160820007,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,18,684,0.008865530966056717,0.9982222222222222,1.1366927499771118,0.656,223.1197190284729,4053.1965351104736,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,19,720,0.0029830254051420426,1.0,1.2443734378814697,0.612,209.50397205352783,4262.7005071640015,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,20,756,0.005890341421796216,0.9984444444444445,1.1481869258880615,0.646,205.67706274986267,4468.377569913864,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,21,792,0.00324474588698811,0.9995555555555555,1.069283966064453,0.664,202.50426387786865,4670.881833791733,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,22,828,0.014537812537617153,0.9957777777777778,1.2520255002975464,0.61,177.37422108650208,4848.256054878235,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,23,864,0.019451596866051357,0.9946666666666667,1.1561638202667237,0.636,169.37093591690063,5017.6269907951355,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,24,900,0.003966687677635087,0.9997777777777778,1.3975641260147094,0.578,175.34108996391296,5192.9680807590485,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,25,936,0.001870278967751397,0.9997777777777778,1.1550341062545777,0.632,183.52006912231445,5376.488149881363,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,26,972,0.00690802042103476,0.9991111111111111,1.1592217073440552,0.638,183.86254620552063,5560.3506960868835,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,27,1008,0.002580422768990199,1.0,1.5167662076950073,0.572,185.2794909477234,5745.630187034607,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,28,1044,0.004881198310189777,0.9995555555555555,1.476478199005127,0.592,185.41880583763123,5931.048992872238,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,29,1080,0.0019458235113157167,1.0,1.40949458694458,0.612,186.85545802116394,6117.904450893402,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,baseline,30,1116,0.0011352709829807281,1.0,1.4311816005706788,0.604,186.5300989151001,6304.434549808502,4500,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,0,11,1.4771736250983345,0.5555555555555556,1.7028624477386474,0.402,61.092957973480225,61.092957973480225,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,1,22,0.6754600555808455,0.8066666666666666,1.8606679754257203,0.374,61.23947215080261,122.33243012428284,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,2,33,0.5494100356543505,0.8318518518518518,1.3627704648971557,0.506,61.47197985649109,183.80440998077393,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,3,44,0.2752040402094523,0.9251851851851852,1.1329291486740112,0.666,61.30235195159912,245.10676193237305,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,4,55,0.054792436548957116,0.9992592592592593,1.0282006549835205,0.718,61.25929093360901,306.36605286598206,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,5,66,0.024727769734130964,1.0,0.9654699659347534,0.754,61.62335205078125,367.9894049167633,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,6,77,0.015894947683921568,1.0,0.9796874561309814,0.744,61.92659115791321,429.9159960746765,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,7,88,0.011922889264921348,1.0,0.9690634174346924,0.752,61.753373861312866,491.6693699359894,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,8,99,0.009324218560424116,1.0,0.9524585208892822,0.762,61.243821144104004,552.9131910800934,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,9,110,0.007185783213763325,1.0,0.9499786729812623,0.758,60.832578897476196,613.7457699775696,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,10,121,0.006188514117427446,1.0,0.928045313835144,0.764,60.82161259651184,674.5673825740814,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,11,132,0.0056643037849830255,1.0,0.9215153417587281,0.76,60.83317184448242,735.4005544185638,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,12,143,0.004922364355513343,1.0,0.9106938180923462,0.762,61.248621225357056,796.6491756439209,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,13,154,0.00445748561648307,1.0,0.9112364830970764,0.758,61.159605264663696,857.8087809085846,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,14,165,0.0038505873560077614,1.0,0.9064142165184021,0.762,60.87608289718628,918.6848638057709,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,15,176,0.004031685305138429,1.0,0.9073564500808716,0.758,60.855647563934326,979.5405113697052,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,16,187,0.003196653720267393,1.0,0.9009667844772339,0.758,61.60459518432617,1041.1451065540314,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,17,198,0.0029572694679653204,1.0,0.9013987021446228,0.756,63.260003089904785,1104.4051096439362,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,18,209,0.0031574787427153853,1.0,0.9009324917793274,0.75,61.176596879959106,1165.5817065238953,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,19,220,0.0025992494100635804,1.0,0.901937698841095,0.75,60.93866324424744,1226.5203697681427,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,20,231,0.002643769008141977,1.0,0.8969951338768005,0.746,60.93230891227722,1287.45267868042,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,21,242,0.0022772659068168314,1.0,0.8925162334442138,0.75,61.21156597137451,1348.6642446517944,1350,artifacts
stl10_artifacts_noise_art0.4_resnet18,resnet18,stagewise,22,253,0.0023336907655552583,1.0,0.8901902618408203,0.75,61.384130001068115,1410.0483746528625,1350,artifacts
