experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
stl10_artifacts_noise_art0.4,swin_t,baseline,0,36,0.8448733072280884,0.7502222222222222,0.16958455961942673,0.964,430.781179189682,430.781179189682,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,1,72,0.21697100549936293,0.9344444444444444,0.13278414648771286,0.956,435.62928581237793,866.4104650020599,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,2,108,0.10914991445508268,0.9682222222222222,0.1256791594028473,0.958,444.53501200675964,1310.9454770088196,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,3,144,0.07287366795539856,0.9775555555555555,0.09679416084289551,0.972,416.7922480106354,1727.737725019455,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,4,180,0.049886064818956785,0.9848888888888889,0.11017069756984711,0.97,416.26424908638,2144.001974105835,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,5,216,0.04295602903101179,0.9882222222222222,0.09292176470160485,0.972,407.2369210720062,2551.238895177841,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,6,252,0.045625309162669714,0.9884444444444445,0.11776080566644669,0.96,425.96270418167114,2977.2015993595123,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,7,288,0.03723439238137669,0.9882222222222222,0.0893223923444748,0.97,446.60775804519653,3423.809357404709,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,8,324,0.029873742668579024,0.9928888888888889,0.09235664841532708,0.972,398.77034521102905,3822.579702615738,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,9,360,0.02322576209168053,0.9946666666666667,0.08795647156238556,0.97,397.0554187297821,4219.63512134552,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,10,396,0.023159418541524146,0.9944444444444445,0.09509567132592202,0.978,430.6439390182495,4650.2790603637695,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,11,432,0.027513173110162218,0.9928888888888889,0.11267617326974869,0.97,449.53809785842896,5099.8171582221985,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,12,468,0.029901377943137453,0.9908888888888889,0.14941322886943817,0.956,453.99176001548767,5553.808918237686,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,13,504,0.03443443564366963,0.9891111111111112,0.09374464330077172,0.976,450.9467017650604,6004.755620002747,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,14,540,0.0285430436792473,0.9917777777777778,0.11619444239139556,0.962,438.68695092201233,6443.442570924759,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,15,576,0.024033463762866126,0.994,0.10267714822292327,0.966,455.1040880680084,6898.546658992767,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,16,612,0.029900454743868776,0.9928888888888889,0.10625759559869766,0.972,410.2204759120941,7308.767134904861,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,17,648,0.020231324434280395,0.9935555555555555,0.08659135657548904,0.978,407.4958803653717,7716.263015270233,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,18,684,0.01693712734658685,0.9962222222222222,0.09214483842253685,0.97,394.11390209198,8110.376917362213,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,19,720,0.020084469967625206,0.9935555555555555,0.09805016487836837,0.976,442.565376996994,8552.942294359207,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,20,756,0.024669866187704934,0.9933333333333333,0.13712260055541992,0.966,445.43711590766907,8998.379410266876,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,21,792,0.014276796527206898,0.9962222222222222,0.1348989771604538,0.966,444.8642272949219,9443.243637561798,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,22,828,0.014111802632454783,0.996,0.15005246597528457,0.96,444.4490919113159,9887.692729473114,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,23,864,0.01636717718004042,0.9957777777777778,0.10041095972061158,0.972,438.8784317970276,10326.571161270142,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,24,900,0.0143926742081013,0.9966666666666667,0.11176714393496513,0.964,438.76819109916687,10765.339352369308,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,baseline,25,936,0.011760567086102028,0.9982222222222222,0.12388945123553276,0.964,481.66907024383545,11247.008422613144,4500,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,0,11,1.534337566252108,0.5348148148148149,1.2436451978683472,0.746,150.4004168510437,150.4004168510437,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,1,22,0.7969909253826848,0.7496296296296296,0.4719482591152191,0.932,150.0462908744812,300.4467077255249,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,2,33,0.49807699697989005,0.8466666666666667,0.282815812587738,0.948,145.07553887367249,445.5222465991974,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,3,44,0.20500730565300695,0.9333333333333333,0.20963089776039123,0.944,146.57069277763367,592.092939376831,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,4,55,0.09411049275486558,0.9748148148148148,0.20542880189418794,0.94,145.83031010627747,737.9232494831085,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,5,66,0.04573382164593096,0.9925925925925926,0.1758199908733368,0.948,152.6173198223114,890.5405693054199,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,6,77,0.04049075986776087,0.9911111111111112,0.1685862203836441,0.942,151.94842195510864,1042.4889912605286,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,7,88,0.025717316956983673,0.9962962962962963,0.18525145864486695,0.942,159.53136205673218,1202.0203533172607,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,8,99,0.02266036307370221,0.9962962962962963,0.17888609993457794,0.946,161.58811902999878,1363.6084723472595,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,9,110,0.017964988984167575,0.9977777777777778,0.17090836584568023,0.948,150.43923211097717,1514.0477044582367,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,10,121,0.01955995823222178,0.9962962962962963,0.17593245470523836,0.95,151.0552680492401,1665.1029725074768,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,11,132,0.01804680511907295,0.9977777777777778,0.15397583335638046,0.952,153.74951791763306,1818.8524904251099,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,12,143,0.011125856124692492,0.9985185185185185,0.1871433209180832,0.944,151.47294878959656,1970.3254392147064,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,13,154,0.010970754606511306,0.9992592592592593,0.16516996371746062,0.95,154.28079915046692,2124.6062383651733,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,14,165,0.019183503935734432,0.997037037037037,0.21954091572761536,0.93,155.4694058895111,2280.0756442546844,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,15,176,0.026487713723822876,0.9933333333333333,0.1796586011648178,0.948,158.67015385627747,2438.745798110962,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,16,187,0.02079998661522512,0.9948148148148148,0.18960017758607864,0.944,160.69215893745422,2599.437957048416,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,17,198,0.027969358210210446,0.9918518518518519,0.1713432152271271,0.942,144.58656430244446,2744.0245213508606,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,18,209,0.02149461532080615,0.9948148148148148,0.2111736259460449,0.948,140.10784578323364,2884.1323671340942,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,19,220,0.024458049422612895,0.9925925925925926,0.23904426431655884,0.942,139.42988204956055,3023.562249183655,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,20,231,0.03273756469013514,0.9911111111111112,0.24063886260986328,0.928,139.88126516342163,3163.4435143470764,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,21,242,0.02159510686441704,0.9933333333333333,0.1850532201528549,0.946,143.02341294288635,3306.4669272899628,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,22,253,0.011880430368085702,0.9985185185185185,0.20307164204120637,0.936,145.27249193191528,3451.739419221878,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,23,264,0.013807595644008231,0.9977777777777778,0.19910920572280882,0.942,149.440856218338,3601.180275440216,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,24,275,0.017809191473104335,0.9948148148148148,0.2051721670627594,0.94,150.1804280281067,3751.3607034683228,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,25,286,0.017314587047116622,0.997037037037037,0.20992256033420562,0.946,149.92331790924072,3901.2840213775635,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,stagewise,26,297,0.013559665453309814,0.997037037037037,0.22381239998340607,0.942,144.122948884964,4045.4069702625275,1350,artifacts
stl10_artifacts_noise_art0.4,swin_t,static,0,48,0.10413169800241788,0.9773333333333334,0.163728630900383,0.944,167.08188319206238,167.08188319206238,1500,artifacts
stl10_artifacts_noise_art0.4,swin_t,static,1,60,0.044689257671435674,0.994,0.1748395583629608,0.938,159.85228610038757,326.93416929244995,1500,artifacts
