experiment,model,strategy,epoch,total_steps,train_loss,train_acc,val_loss,val_acc,epoch_time,total_time,subset_size,dataset_type
stl10_noisy_noise0.6,swin_t,baseline,0,36,2.1873716282314724,0.2697777777777778,1.2425740022659302,0.912,436.7774851322174,436.7774851322174,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,1,72,2.0020707438786824,0.3748888888888889,1.0703590621948242,0.924,450.4537847042084,887.2312698364258,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,2,108,1.881934234407213,0.3973333333333333,1.0469085636138915,0.898,451.00932574272156,1338.2405955791473,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,3,144,1.7019262475967407,0.44222222222222224,1.0740940322875976,0.786,415.4067521095276,1753.647347688675,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,4,180,1.4835200125376384,0.5211111111111111,1.096023525238037,0.742,403.1261727809906,2156.7735204696655,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,5,216,1.221479301240709,0.6164444444444445,1.1773798294067384,0.652,422.7787787914276,2579.552299261093,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,6,252,0.9679755892753601,0.7031111111111111,1.2948712644577027,0.594,439.0972499847412,3018.6495492458344,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,7,288,0.7170508615970611,0.7888888888888889,1.3690553941726684,0.6,429.7205991744995,3448.370148420334,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,8,324,0.5242390551567078,0.8488888888888889,1.624531057357788,0.534,431.94817996025085,3880.3183283805847,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,9,360,0.3931646883752611,0.8951111111111111,1.5969212408065796,0.52,431.9209587574005,4312.239287137985,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,10,396,0.32456044769287107,0.9126666666666666,1.9699035396575928,0.462,432.27406787872314,4744.513355016708,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,11,432,0.26987991547584533,0.9273333333333333,1.6779170427322387,0.554,434.2161078453064,5178.729462862015,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,12,468,0.21267196661896176,0.9471111111111111,1.8473532028198243,0.54,433.43913173675537,5612.16859459877,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,13,504,0.18132190194394854,0.9542222222222222,1.9791750392913818,0.52,412.14042019844055,6024.309014797211,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,14,540,0.15964730989933013,0.9608888888888889,2.1528842220306394,0.492,451.48687720298767,6475.795892000198,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,15,576,0.16761742806434632,0.9548888888888889,2.2828480834960936,0.464,448.7429029941559,6924.538794994354,4500,noisy
stl10_noisy_noise0.6,swin_t,baseline,16,612,0.1698679282863935,0.9526666666666667,2.01662455368042,0.52,450.0360360145569,7374.574831008911,4500,noisy
stl10_noisy_noise0.6,swin_t,stagewise,0,11,2.215617361775151,0.20592592592592593,1.5139524364471435,0.676,144.50621819496155,144.50621819496155,1350,noisy
stl10_noisy_noise0.6,swin_t,stagewise,1,22,2.1355182916146735,0.3237037037037037,1.2801505327224731,0.85,145.6027901172638,290.10900831222534,1350,noisy
stl10_noisy_noise0.6,swin_t,stagewise,2,33,2.2135788744467275,0.2725925925925926,1.4633373956680298,0.812,144.3848340511322,434.49384236335754,1350,noisy
