arch,strategy,dataset,scale,degradation,deg_level,epoch,total_steps,train_loss,train_psnr,val_loss,val_psnr,subset_size,epoch_time,total_time
espcn,baseline,stl10,2,blur,0.5,0,157,0.118071710896492,16.928714459228516,0.07101896728621795,20.16647282898426,5000,17.530832290649414,17.530832290649414
espcn,baseline,stl10,2,blur,0.5,1,314,0.07438425197601319,19.97560524597168,0.06639212161034812,20.66814767384529,5000,17.00519323348999,34.536025524139404
espcn,baseline,stl10,2,blur,0.5,2,471,0.07147408487796783,20.272956466674806,0.06533435082272626,20.81290825676918,5000,16.750659704208374,51.28668522834778
espcn,baseline,stl10,2,blur,0.5,3,628,0.06958811776638031,20.453721008300782,0.06357525929703843,20.948836490988732,5000,16.644429922103882,67.93111515045166
espcn,baseline,stl10,2,blur,0.5,4,785,0.06862804358005524,20.56239508972168,0.06519795360276476,20.87221326136589,5000,16.628161907196045,84.5592770576477
espcn,baseline,stl10,2,blur,0.5,5,942,0.06758453997373581,20.66189250488281,0.06197591809812002,21.124700725317002,5000,16.522691011428833,101.08196806907654
espcn,baseline,stl10,2,blur,0.5,6,1099,0.06675066046714782,20.739545111083984,0.06178570433857385,21.163386671185492,5000,16.586387157440186,117.66835522651672
espcn,baseline,stl10,2,blur,0.5,7,1256,0.0662569500207901,20.803802404785156,0.061203907110379076,21.225652074575425,5000,16.643172025680542,134.31152725219727
espcn,baseline,stl10,2,blur,0.5,8,1413,0.06661432132720947,20.793220788574217,0.060833849572110923,21.254160663843155,5000,16.51643991470337,150.82796716690063
espcn,baseline,stl10,2,blur,0.5,9,1570,0.0653625461101532,20.896294348144533,0.06038227283535525,21.29911368072033,5000,16.58719778060913,167.41516494750977
espcn,baseline,stl10,2,blur,0.5,10,1727,0.06507792901992798,20.925581158447265,0.060470389775699004,21.314248100996018,5000,16.633911848068237,184.049076795578
espcn,baseline,stl10,2,blur,0.5,11,1884,0.064891794860363,20.945500378417968,0.05969021144113503,21.37002657043934,5000,16.633854150772095,200.6829309463501
espcn,baseline,stl10,2,blur,0.5,12,2041,0.06492853019237518,20.96365776977539,0.06044142709719017,21.32997291314602,5000,16.593504905700684,217.27643585205078
espcn,baseline,stl10,2,blur,0.5,13,2198,0.0647841653585434,20.974996853637695,0.059572958331089464,21.406847620368005,5000,16.61530590057373,233.8917417526245
espcn,baseline,stl10,2,blur,0.5,14,2355,0.06423688818216323,21.02942205505371,0.05996673773112707,21.39319159436226,5000,16.64506196975708,250.5368037223816
espcn,baseline,stl10,2,blur,0.5,15,2512,0.06424412080049514,21.05100190734863,0.05941929348325357,21.43160307955742,5000,16.59409999847412,267.1309037208557
espcn,baseline,stl10,2,blur,0.5,16,2669,0.06412535653710365,21.06433690185547,0.060013088670675646,21.401364004135132,5000,16.72473907470703,283.85564279556274
espcn,baseline,stl10,2,blur,0.5,17,2826,0.06361362696886062,21.11063021850586,0.05890412700735032,21.475561189055444,5000,16.85482096672058,300.7104637622833
espcn,baseline,stl10,2,blur,0.5,18,2983,0.06352016214132308,21.108596026611327,0.05900380439776927,21.482681074142455,5000,16.624133825302124,317.33459758758545
espcn,baseline,stl10,2,blur,0.5,19,3140,0.06332245779037475,21.14387653198242,0.05876173875387758,21.50426993095875,5000,16.75125503540039,334.08585262298584
espcn,stagewise,stl10,2,blur,0.5,0,47,0.16287706204255423,14.408872965494792,0.10951014967868104,16.661143473625184,1500,14.332729816436768,14.332729816436768
espcn,stagewise,stl10,2,blur,0.5,1,94,0.09640458238124848,17.543599446614582,0.08116856161947363,19.11167975819111,1500,14.274991035461426,28.607720851898193
espcn,stagewise,stl10,2,blur,0.5,2,141,0.08684901416301727,18.61237353515625,0.0725804216475226,19.983038826465606,1500,14.288608074188232,42.896328926086426
espcn,stagewise,stl10,2,blur,0.5,3,188,0.07655757838487626,19.701154815673828,0.06933965703949797,20.32166293275356,1500,14.272249937057495,57.16857886314392
espcn,stagewise,stl10,2,blur,0.5,4,235,0.07108457994461059,20.252693318684894,0.06835888761561364,20.439518205881118,1500,14.274410009384155,71.44298887252808
espcn,stagewise,stl10,2,blur,0.5,5,282,0.06863338780403137,20.516091303507487,0.06720913378417026,20.564274180293083,1500,14.289481163024902,85.73247003555298
espcn,stagewise,stl10,2,blur,0.5,6,329,0.06783162534236908,20.625454752604167,0.06632966370740906,20.664339631199837,1500,14.258834838867188,99.99130487442017
espcn,stagewise,stl10,2,blur,0.5,7,376,0.06691333778699239,20.718777872721354,0.06548280873417389,20.746471802234648,1500,14.256366968154907,114.24767184257507
espcn,stagewise,stl10,2,blur,0.5,8,423,0.06573030970493952,20.820937881469728,0.06523877387668472,20.785059686660766,1500,14.272848844528198,128.52052068710327
espcn,stagewise,stl10,2,blur,0.5,9,470,0.06513376205166181,20.907621963500976,0.06499868904298638,20.81705746603012,1500,14.275957107543945,142.79647779464722
espcn,stagewise,stl10,2,blur,0.5,10,517,0.06535113428036372,20.905112538655597,0.06404811642691494,20.90037977838516,1500,14.288025140762329,157.08450293540955
espcn,stagewise,stl10,2,blur,0.5,11,564,0.06462136751413346,20.972284500122072,0.06421280768618454,20.901896592736243,1500,14.292893886566162,171.3773968219757
espcn,stagewise,stl10,2,blur,0.5,12,611,0.06419281470775605,21.039515818277994,0.06366729701391886,20.95764279258251,1500,14.288434743881226,185.66583156585693
