arch,strategy,dataset,scale,degradation,deg_level,epoch,total_steps,train_loss,train_psnr,val_loss,val_psnr,subset_size,epoch_time,total_time
srcnn,baseline,stl10,2,blur,0.5,0,157,0.13714256393909455,15.682354623413087,0.08043816613941454,19.035466983795168,5000,23.68012809753418,23.68012809753418
srcnn,baseline,stl10,2,blur,0.5,1,314,0.08079500963687897,19.217041397094725,0.06883365640952252,20.252942842602728,5000,23.723639011383057,47.403767108917236
srcnn,baseline,stl10,2,blur,0.5,2,471,0.07264707012176513,20.047967761230467,0.06512004811665975,20.65557429111004,5000,25.030951023101807,72.43471813201904
srcnn,baseline,stl10,2,blur,0.5,3,628,0.06955400745868683,20.35913117980957,0.06402302966057323,20.778602134108542,5000,24.516378164291382,96.95109629631042
srcnn,baseline,stl10,2,blur,0.5,4,785,0.068723308968544,20.461817211914063,0.06357443401531782,20.83226636302471,5000,24.53916907310486,121.49026536941528
srcnn,baseline,stl10,2,blur,0.5,5,942,0.06852321182489395,20.497923818969728,0.06335040819097776,20.898818476200105,5000,24.432270288467407,145.9225356578827
srcnn,baseline,stl10,2,blur,0.5,6,1099,0.06790564905405044,20.568413619995116,0.06258573710976634,20.95091256415844,5000,24.15654706954956,170.07908272743225
srcnn,baseline,stl10,2,blur,0.5,7,1256,0.06741806614398957,20.611884042358398,0.062309110111207704,20.99775162565708,5000,23.917768955230713,193.99685168266296
srcnn,baseline,stl10,2,blur,0.5,8,1413,0.0670907956957817,20.648145153808592,0.06238537279691082,21.00488503074646,5000,23.811309099197388,217.80816078186035
srcnn,baseline,stl10,2,blur,0.5,9,1570,0.06694259722232819,20.66895852050781,0.06154286023729946,21.05572701740265,5000,23.959381818771362,241.7675426006317
srcnn,baseline,stl10,2,blur,0.5,10,1727,0.06676734381914139,20.69309057006836,0.06126341964746825,21.082952370643614,5000,23.915894985198975,265.6834375858307
srcnn,baseline,stl10,2,blur,0.5,11,1884,0.06640975764989852,20.71930289916992,0.061159911118447784,21.090269802331925,5000,23.942283153533936,289.6257207393646
srcnn,baseline,stl10,2,blur,0.5,12,2041,0.06581370315551757,20.76755508728027,0.06136281444283668,21.079825746536255,5000,24.184624910354614,313.81034564971924
srcnn,baseline,stl10,2,blur,0.5,13,2198,0.06571804931163788,20.77577836303711,0.06143020695087034,21.114341077446937,5000,23.24324607849121,337.05359172821045
srcnn,baseline,stl10,2,blur,0.5,14,2355,0.06533331400752068,20.814226275634766,0.06053099740250036,21.15634634876251,5000,23.041218042373657,360.0948097705841
srcnn,baseline,stl10,2,blur,0.5,15,2512,0.0655837200164795,20.806816589355467,0.060271136432071215,21.182370790958405,5000,22.962158918380737,383.05696868896484
srcnn,baseline,stl10,2,blur,0.5,16,2669,0.06485261126756668,20.881869268798827,0.060057071773684585,21.204439289450644,5000,27.665507793426514,410.72247648239136
srcnn,baseline,stl10,2,blur,0.5,17,2826,0.06532118649482727,20.832340405273438,0.06026061582623515,21.212577081918717,5000,24.803553819656372,435.52603030204773
srcnn,baseline,stl10,2,blur,0.5,18,2983,0.06501745138168336,20.86843133239746,0.060043067957856695,21.232069054603578,5000,23.187777042388916,458.71380734443665
srcnn,baseline,stl10,2,blur,0.5,19,3140,0.06459225150346756,20.903505026245117,0.059680911047849804,21.26175775003433,5000,22.642168045043945,481.3559753894806
srcnn,stagewise,stl10,2,blur,0.5,0,47,0.15570703242222467,15.288328964233399,0.11085637662792579,16.867992782592772,1500,20.354859113693237,20.354859113693237
srcnn,stagewise,stl10,2,blur,0.5,1,94,0.10260628344615301,17.217988677978514,0.08791068403981626,18.372563366532326,1500,19.44860601425171,39.803465127944946
srcnn,stagewise,stl10,2,blur,0.5,2,141,0.09236686692635218,18.142737442016603,0.08023623401019722,19.18913512969017,1500,18.742353916168213,58.54581904411316
srcnn,stagewise,stl10,2,blur,0.5,3,188,0.0805318928360939,19.34134759012858,0.07683034897432663,19.566584144353868,1500,18.62251329421997,77.16833233833313
srcnn,stagewise,stl10,2,blur,0.5,4,235,0.07293327836195627,20.07960097757975,0.07282537850178779,19.863887785077097,1500,18.634372234344482,95.80270457267761
srcnn,stagewise,stl10,2,blur,0.5,5,282,0.06916480551163355,20.450888051350912,0.07065811607963406,20.06895702111721,1500,18.34802222251892,114.15072679519653
srcnn,stagewise,stl10,2,blur,0.5,6,329,0.06668459717432658,20.745614618937175,0.06940909300895873,20.191961050748827,1500,19.14742088317871,133.29814767837524
srcnn,stagewise,stl10,2,blur,0.5,7,376,0.06548141086101532,20.89231303405762,0.06811771914444398,20.318169607639312,1500,20.6663019657135,153.96444964408875
srcnn,stagewise,stl10,2,blur,0.5,8,423,0.0645988268951575,21.006156321207683,0.06724107461830135,20.41666163265705,1500,19.004735946655273,172.96918559074402
srcnn,stagewise,stl10,2,blur,0.5,9,470,0.06358285483717918,21.140086268107098,0.06688376548443921,20.437864041566847,1500,18.680383920669556,191.64956951141357
srcnn,stagewise,stl10,2,blur,0.5,10,517,0.06266295649607977,21.23634489440918,0.06593625788821374,20.51849995350838,1500,20.52370810508728,212.17327761650085
srcnn,stagewise,stl10,2,blur,0.5,11,564,0.06217186937729518,21.285245346069335,0.06583297671505715,20.543985779762266,1500,19.342442989349365,231.51572060585022
srcnn,stagewise,stl10,2,blur,0.5,12,611,0.06176415338118871,21.363061452229818,0.06588250628707465,20.603826699137688,1500,19.4098379611969,250.92555856704712
srcnn,stagewise,stl10,2,blur,0.5,13,658,0.06179415931304296,21.349437484741213,0.06472349461552221,20.657375309824943,1500,18.64035391807556,269.5659124851227
srcnn,stagewise,stl10,2,blur,0.5,14,705,0.06120845395326614,21.420264307657877,0.0644882551630726,20.687903326034547,1500,19.80811381340027,289.37402629852295
srcnn,stagewise,stl10,2,blur,0.5,15,752,0.06140447956323623,21.402298487345377,0.06436339952936396,20.723043308854102,1500,18.847914934158325,308.2219412326813
srcnn,stagewise,stl10,2,blur,0.5,16,799,0.060740045766035713,21.4910521291097,0.06413406183116603,20.751376856803894,1500,19.644261121749878,327.86620235443115
srcnn,stagewise,stl10,2,blur,0.5,17,846,0.060631891200939814,21.49372155761719,0.06405998392635956,20.769515035152434,1500,18.895631313323975,346.7618336677551
srcnn,stagewise,stl10,2,blur,0.5,18,893,0.06023959661523501,21.544736338297525,0.06370257631747518,20.786142847061157,1500,19.299046277999878,366.060879945755
srcnn,stagewise,stl10,2,blur,0.5,19,940,0.06015223932266235,21.54090286763509,0.06346521224349272,20.81446995520592,1500,19.49860405921936,385.55948400497437
srcnn,stagewise,stl10,2,blur,0.5,20,987,0.06011666105190913,21.570178634643554,0.06330958330561406,20.829400885581972,1500,18.846779108047485,404.40626311302185
srcnn,stagewise,stl10,2,blur,0.5,21,1034,0.059803622504075366,21.595609670003256,0.06316972936771345,20.84654969680309,1500,19.332823753356934,423.7390868663788
srcnn,stagewise,stl10,2,blur,0.5,22,1081,0.07615110290050507,19.55144392903646,0.0637660238276003,20.817195442438127,1500,19.242671012878418,442.9817578792572
srcnn,stagewise,stl10,2,blur,0.5,23,1128,0.08004640080531439,19.064191004435223,0.06293736303201877,20.905165566921234,1500,19.009230136871338,461.99098801612854
srcnn,stagewise,stl10,2,blur,0.5,24,1175,0.07929667737086614,19.14162651570638,0.06280132486287039,20.918117166757582,1500,19.036307096481323,481.02729511260986
srcnn,stagewise,stl10,2,blur,0.5,25,1222,0.07907275166114171,19.161126637776693,0.06276701628242154,20.92283817601204,1500,19.176828861236572,500.20412397384644
srcnn,stagewise,stl10,2,blur,0.5,26,1269,0.07894459867477417,19.173816884358725,0.06320599438133649,20.92971270275116,1500,18.60970115661621,518.8138251304626
srcnn,stagewise,stl10,2,blur,0.5,27,1316,0.07994179322322209,19.115956008911134,0.06563420802657492,20.714668059825897,1500,21.012337923049927,539.8261630535126
